Word,Pronunciation,Definition,HSK Level
本领,běn lǐng,"skill; ability; capability; CL:項|项[xiang4],個|个[ge4]",5
本能,běn néng,instinct,6
本钱,běn qián,capital,6
本人,běn rén,the person himself; I (humble form used in speeches); oneself; myself; in person; personal,6
本身,běn shēn,itself; in itself; per se,6
本事,běn shi,ability; skill; source material; original story,6
本着,běn zhe,based on...; in conformance with..; taking as one's main principle,6
本质,běn zhì,essence; nature; innate character; intrinsic quality,5
笨,bèn,stupid; foolish; silly; slow-witted; clumsy,4
笨拙,bèn zhuō,clumsy; awkward; stupid,6
崩溃,bēng kuì,to collapse; to crumble; to fall apart,6
甭,béng,need not; (contraction of 不 and 用),6
蹦,bèng,to jump; to bounce; to hop,6
迸发,bèng fā,to burst out; to gush; to spurt,6
逼迫,bī pò,to force; to compel; to coerce,6
鼻涕,bí tì,nasal mucus; snivel,6
鼻子,bí zi,"nose; CL:個|个[ge4],隻|只[zhi1]",3
比,bǐ,"(particle used for comparison and ""-er than""); to compare; to contrast; to gesture (with hands); ratio",2
彼此,bǐ cǐ,each other; one another,5
比方,bǐ fang,analogy; instance,6
笔记本,bǐ jì běn,notebook; CL:本[ben3],4
比较,bǐ jiào,compare; contrast; fairly; comparatively; relatively; quite; rather,3
比例,bǐ lì,proportion; scale,5
比如,bǐ rú,for example; for instance; such as,5
比赛,bǐ sài,"competition (sports etc); match; CL:場|场[chang3],次[ci4]",3
比喻,bǐ yù,metaphor; analogy; figure of speech; figuratively,6
比重,bǐ zhòng,proportion; specific gravity,6
臂,bì,arm,6
弊病,bì bìng,malady; evil; malpractice; drawback; disadvantage,6
必定,bì dìng,be bound to; be sure to,6
弊端,bì duān,malpractice; abuse; corrupt practice,6
毕竟,bì jìng,after all; all in all; when all is said and done; in the final analysis,5
避免,bì miǎn,to avert; to prevent; to avoid; to refrain from,5
必然,bì rán,inevitable; certain; necessity,5
闭塞,bì sè,stop up; close up; hard to get to; out of the way; inaccessible; unenlightened; blocking,6
必需,bì xū,to need; to require; essential; indispensable,5
必须,bì xū,to have to; must; compulsory; necessarily,3
必要,bì yào,necessary; essential; indispensable; required,5
毕业,bì yè,graduation; to graduate; to finish school,4
碧玉,bì yù,jasper,6
鞭策,biān cè,to spur on; to urge on; to encourage sb (e.g. to make progress),6
编辑,biān jí,to edit; to compile; editor; compiler,5
边疆,biān jiāng,border area; borderland; frontier; frontier region,6
边界,biān jiè,boundary; border,6
边境,biān jìng,frontier; border,6
鞭炮,biān pào,firecrackers; a string of small firecrackers; CL:枚[mei2],5
边缘,biān yuán,edge; fringe; verge; brink; periphery; marginal; borderline,6
编织,biān zhī,to weave; to knit; to plait; to braid,6
扁,biǎn,"flat; (old form of character 匾, horizontal tablet with inscription)",6
贬低,biǎn dī,to belittle; to disparage; to play down; to demean; to degrade; to devalue,6
贬义,biǎn yì,derogatory sense; negative connotation,6
便,biàn,ordinary; plain; convenient; as convenient; when the chance arises; handy; easy; informal; simple; so; thus; to relieve oneself; to urinate; to defecate; equivalent to 就: then; in that case; even if; soon afterwards,5
遍,biàn,a time; everywhere; turn; all over; one time,4
遍布,biàn bù,to cover the whole (area); to be found throughout,6
变故,biàn gù,an unforeseen event; accident; misfortune,6
