Word,Pronunciation,Definition,HSK Level
领域,lǐng yù,domain; sphere; field; territory; area,5
另外,lìng wài,additional; in addition; besides; separate; other; moreover; furthermore,4
溜,liū,to slip away; to escape in stealth; to skate,6
留,liú,to leave (eg a message); to retain; to stay; to remain; to keep; to preserve,4
流传,liú chuán,to spread; to circulate; to hand down,5
浏览,liú lǎn,to skim over; to browse,5
流浪,liú làng,to drift about; to wander; to roam; nomadic; homeless; unsettled (e.g. population); vagrant,6
流泪,liú lèi,to shed tears,4
流利,liú lì,fluent,4
留恋,liú liàn,reluctant to leave; to hate to have to go; to recall fondly,6
流露,liú lù,to express; to reveal (one's thoughts or feelings),6
流氓,liú máng,rogue; hoodlum; gangster; immoral behavior,6
留念,liú niàn,to keep as a souvenir; to recall fondly,6
留神,liú shén,to take care; to be careful,6
流通,liú tōng,to circulate,6
流行,liú xíng,to spread; to rage (of contagious disease); popular; fashionable; prevalent; (math.) manifold,4
留学,liú xué,to study abroad,4
六,liù,six; 6,1
龙,lóng,dragon; CL:條|条[tiao2]; imperial,5
聋哑,lóng yǎ,deaf and dumb; deaf-mute; surdimutism,6
隆重,lóng zhòng,grand; prosperous; ceremonious; solemn,6
垄断,lǒng duàn,enjoy market dominance; monopolize,6
笼罩,lǒng zhào,to envelop; to shroud,6
楼,lóu,"house with more than 1 story; storied building; floor; CL:層|层[ceng2],座[zuo4],棟|栋[dong4]",3
搂,lǒu,to hold or embrace in one's arms,6
漏,lòu,to leak; to divulge; to leave out by mistake; waterclock or hourglass (old),5
炉灶,lú zào,stove,6
路,lù,road; path; way; CL:條|条[tiao2],2
露,lù,dew; syrup; nectar; outdoors (not under cover); to show; to reveal; to betray; to expose,5
陆地,lù dì,dry land (as opposed to the sea),5
录取,lù qǔ,to recruit; to enroll,5
陆续,lù xù,in turn; successively; one after the other; bit by bit,5
录音,lù yīn,to record (sound); sound-recording; CL:個|个[ge4],5
乱,luàn,in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary,4
轮船,lún chuán,steamship; CL:艘[sou1],6
轮廓,lún kuò,an outline; silhouette,6
轮流,lún liú,to alternate; to take turns,5
轮胎,lún tāi,tire; pneumatic tire,6
论坛,lùn tán,forum (for discussion),6
论文,lùn wén,paper; treatise; thesis; CL:篇[pian1]; to discuss a paper or thesis (old),5
论证,lùn zhèng,to prove a point; proof; to expound on; demonstrate or prove (through argument),6
啰唆,luō suo,to grumble,6
逻辑,luó ji,logic (loanword),5
螺丝钉,luó sī dīng,screw,6
落成,luò chéng,to complete a construction project,6
落后,luò hòu,to fall behind; to lag (in technology etc); backward; to retrogress,5
落实,luò shí,practical; workable; to implement; to carry out; to decide,6
络绎不绝,luò yì bù jué,continuously; in an endless stream (idiom),6
屡次,lǚ cì,repeatedly; time and again,6
履行,lǚ xíng,to fulfill (one's obligations); to carry out (a task); to implement (an agreement); to perform,6
旅游,lǚ yóu,trip; journey; tourism; travel; tour,2
绿,lǜ,green,3
律师,lǜ shī,lawyer,4
掠夺,lüè duó,to plunder; to rob; also written 略奪|略夺,6
略微,lüè wēi,a little bit; slightly,6
妈妈,mā ma,"mama; mommy; mother; CL:個|个[ge4],位[wei4]",1
麻痹,má bì,paralysis; palsy; numbness; to benumb,6
麻烦,má fan,inconvenient; troublesome; to trouble or bother sb; to put sb to trouble,4
麻木,má mù,numb; insensitive; apathetic,6
麻醉,má zuì,anesthesia; fig. to poison (sb's mind),6
马,mǎ,horse; abbr. for Malaysia 馬來西亞|马来西亚,3
马虎,mǎ hu,careless; sloppy; negligent; skimpy,4
马上,mǎ shàng,"at once, right away, immediately; lit. on horseback",2
码头,mǎ tóu,dock; pier; wharf; CL:個|个[ge4],6
骂,mà,"to scold; abuse; CL:通[tong4],頓|顿[dun4]",5
吗,ma,(question tag),1
嘛,ma,(a modal particle),6
埋伏,mái fú,ambush,6
埋没,mái mò,oblivion,6
埋葬,mái zàng,to bury,6
买,mǎi,to buy; to purchase,1
卖,mài,to sell; to betray; to spare no effort; to show off or flaunt,2
迈,mài,take a step,6
脉搏,mài bó,a pulse (both medical and figurative),6
麦克风,mài kè fēng,microphone (loanword),5
馒头,mán tou,steamed roll; steamed bun; steamed bread; CL:個|个[ge4],5
埋怨,mán yuàn,to complain,6
满,mǎn,full; filled; packed; fully; completely; quite; to reach the limit; to satisfy; satisfied; contented; to fill; abbr. for Manchurian,4
满意,mǎn yì,satisfied; pleased; to one's satisfaction,3
满足,mǎn zú,to satisfy; to meet (the needs of),5
慢,màn,slow,2
漫长,màn cháng,very long; endless,6
漫画,màn huà,caricature; cartoon; Japanese manga,6
慢性,màn xìng,slow and patient; chronic (disease); slow to take effect (e.g. a slow poison),6
蔓延,màn yán,to extend; to spread,6
忙,máng,busy; hurriedly,2
忙碌,máng lù,busy; bustling,6
茫茫,máng máng,boundless; vast and obscure,6
盲目,máng mù,blind; aimless,6
茫然,máng rán,ignorant; to have no knowledge of sth,6
猫,māo,cat; CL:隻|只[zhi1],1
毛,máo,hair; feather; down,5
毛病,máo bìng,fault; defect; shortcomings; CL:個|个[ge4],5
矛盾,máo dùn,contradictory; contradiction; CL:個|个[ge4],5
毛巾,máo jīn,towel; CL:條|条[tiao2],4
冒充,mào chōng,to feign; to pretend to be; to pass oneself off as,6
茂盛,mào shèng,lush,6
冒险,mào xiǎn,to take risks; to take chances; foray; adventure,5
贸易,mào yì,(commercial) trade; CL:個|个[ge4],5
帽子,mào zi,hat; cap; CL:頂|顶[ding3],3
没,méi,(negative prefix for verbs); have not; not,1
枚,méi,"classifier for coins, rings, badges, pearls, sporting medals, rockets, satellites etc",6
没关系,méi guān xi,it doesn't matter,1
媒介,méi jiè,media; medium,6
眉毛,méi mao,eyebrow; CL:根[gen1],5
煤炭,méi tàn,coal,5
媒体,méi tǐ,"media, esp. news media",6
没辙,méi zhé,(idiom) unable to solve; no way to escape a problem,6
每,měi,each; every,2
美观,měi guān,pleasing to the eye; beautiful; artistic,6
美丽,měi lì,beautiful,4
美满,měi mǎn,happy; blissful,6
美妙,měi miào,beautiful; wonderful; splendid,6
美术,měi shù,art; fine arts; painting; CL:種|种[zhong3],5
魅力,mèi lì,charm; fascination; glamor; charisma,5
妹妹,mèi mei,younger sister; fig. younger woman (esp. girl friend or rival); CL:個|个[ge4],2
门,mén,"gate; door; CL:扇[shan4]; gateway; doorway; CL:個|个[ge4]; opening; valve; switch; way to do something; knack; family; house; (religious) sect; school (of thought); class; category; phylum or division (taxonomy); classifier for large guns; classifier for lessons, subjects, branches of technology",2
门诊,mén zhěn,outpatient service,6
蒙,méng,drizzle; mist,6
萌芽,méng yá,sprout; germ of a plant,6
猛烈,měng liè,fierce; violent (criticism etc),6
梦,mèng,"dream; CL:場|场[chang2],個|个[ge4]",4
梦想,mèng xiǎng,to dream of; to hope in vain,6
眯,mī,to narrow one's eyes; (Dialect) to nap; to take a nap,6
弥补,mí bǔ,to complement; to make up for a deficiency,6
迷惑,mí huo,to puzzle; to confuse; to baffle,6
迷路,mí lù,to lose the way; lost; labyrinth; labyrinthus vestibularis (of the inner ear),5
弥漫,mí màn,"to pervade; to fill the air; diffuse; everywhere present; about to inundate (water); permeated by (smoke); filled with (dust); to saturate (the air with fog, smoke etc)",6
迷人,mí rén,fascinating; enchanting; charming; tempting,6
迷失,mí shī,lost; not knowing one's location,6
迷信,mí xìn,superstition,6
谜语,mí yǔ,riddle; conundrum,5
米,mǐ,rice; CL:粒[li4]; meter (classifier),3
米饭,mǐ fàn,(cooked) rice,1
密度,mì dù,density; thickness,6
蜜蜂,mì fēng,"bee; honeybee; CL:隻|只[zhi1],群[qun2]",5
密封,mì fēng,seal up,6
密码,mì mǎ,code; secret code; password; pin number,4
秘密,mì mì,secret; CL:個|个[ge4],5
密切,mì qiè,close; familiar; intimate; closely (related); to foster close ties; to pay close attention,5
秘书,mì shū,secretary,5
棉花,mián hua,cotton,5
免得,miǎn de,so as not to; so as to avoid,6
免费,miǎn fèi,free (of charge),4
勉励,miǎn lì,to encourage,6
勉强,miǎn qiǎng,to do with difficulty; to force sb to do sth; reluctant; barely enough,6
免疫,miǎn yì,immunity (to disease),6
面包,miàn bāo,"bread; CL:片[pian4],袋[dai4],塊|块[kuai4]",3
面对,miàn duì,to confront; to face,5
面积,miàn jī,surface area,5
面临,miàn lín,to face sth; to be confronted with,5
面貌,miàn mào,appearance; face; features; CL:個|个[ge4],6
面条,miàn tiáo,noodles,3
面子,miàn zi,"outer surface; outside; honor; reputation; face (as in ""losing face""); self-respect; feelings; (medicinal) powder",6
描绘,miáo huì,to describe; to portray,6
苗条,miáo tiáo,"slim, slender, graceful",5
描写,miáo xiě,to describe; to depict; to portray; description,5
秒,miǎo,second (of time); unit of angle or arc equivalent to one sixtieth of a degree,5
渺小,miǎo xiǎo,minute; tiny; negligible; insignificant,6
蔑视,miè shì,to loathe; to despise; contempt,6
灭亡,miè wáng,to be destroyed; to become extinct; to perish; to die out; to destroy; to exterminate,6
民间,mín jiān,among the people; popular; folk; non-governmental; involving people rather than governments,6
民用,mín yòng,(for) civilian use,6
民主,mín zhǔ,democracy,5
民族,mín zú,nationality; ethnic group; CL:個|个[ge4],4
敏感,mǐn gǎn,sensitive; susceptible; politically sensitive (pretext for censorship),6
敏捷,mǐn jié,nimble; quick; shrewd,6
敏锐,mǐn ruì,keen; sharp; acute,6
明白,míng bai,clear; obvious; unequivocal; to understand; to realize,3
名次,míng cì,position in a ranking of names,6
名额,míng é,fixed number of people; quota,6
名副其实,míng fù qí shí,"not just in name only, but also in reality (idiom)",6
明明,míng míng,obviously; plainly; undoubtedly; definitely,6
名牌,míng pái,famous brand,5
名片,míng piàn,(business) card,5
明确,míng què,clear-cut; definite; explicit; to clarify; to specify; to make definite,5
名胜古迹,míng shèng gǔ jì,historical sites and scenic spots,5
明天,míng tiān,tomorrow,1
明显,míng xiǎn,clear; distinct; obvious,5
明信片,míng xìn piàn,postcard,5
明星,míng xīng,star; celebrity,5
名誉,míng yù,fame; reputation; honor; honorary; emeritus (of retired professor),6
名字,míng zi,name (of a person or thing); CL:個|个[ge4],1
命令,mìng lìng,"order; command; CL:道[dao4],個|个[ge4]",5
命名,mìng míng,to give a name to; to dub; to christen; to designate; named after; naming,6
命运,mìng yùn,fate; destiny; CL:個|个[ge4],5
摸,mō,to feel with the hand; to touch; to stroke; to grope; to feel (one's pulse),5
摸索,mō suo,to feel about; to grope about; to fumble; to do things slowly,6
膜,mó,membrane; film,6
摩擦,mó cā,friction; rubbing; chafing; fig. disharmony; conflict; same as 磨擦,6
模范,mó fàn,model; fine example,6
模仿,mó fǎng,to imitate; to copy; to emulate; to mimic; model,5
魔鬼,mó guǐ,devil,6
磨合,mó hé,to break in; to wear in,6
模糊,mó hu,vague; indistinct; fuzzy,5
模式,mó shì,mode; method,6
魔术,mó shù,magic,6
摩托车,mó tuō chē,"motorbike; motorcycle; CL:輛|辆[liang4],部[bu4]",5
模型,mó xíng,model; mould; matrix; pattern,6
抹杀,mǒ shā,to erase; to cover traces; to obliterate evidence; to expunge; to blot out; to suppress,6
莫名其妙,mò míng qí miào,unfathomable mystery (idiom); subtle and ineffable; unable to make head or tail of it; boring (e.g. movie),6
默默,mò mò,in silence; not speaking,6
陌生,mò shēng,strange; unfamiliar,5
墨水儿,mò shuǐ r5,ink; CL:瓶[ping2],6
谋求,móu qiú,to seek; to strive for,6
某,mǒu,some; a certain; sb or sth indefinite; such-and-such,5
模样,mú yàng,look; style; appearance; approximation; about; CL:個|个[ge4],6
母亲,mǔ qīn,mother; also pr. with light tone [mu3 qin5]; CL:個|个[ge4],4
母语,mǔ yǔ,native language; mother language,6
目标,mù biāo,target; goal; objective; CL:個|个[ge4],5
目的,mù dì,purpose; aim; goal; target; objective; CL:個|个[ge4],4
目睹,mù dǔ,to witness; to see at first hand; to see with one's own eyes,6
目光,mù guāng,sight; vision; view; gaze; look,6
目录,mù lù,catalog; table of contents; directory (on computer hard drive); list; contents,5
目前,mù qián,at the present time; currently,5
木头,mù tou,"slow-witted; blockhead; log (of wood, timber etc); CL:塊|块[kuai4],根[gen1]",5
沐浴,mù yù,to take a bath; to bathe; to immerse,6
拿,ná,to hold; to seize; to catch; to apprehend; to take,3
拿手,ná shǒu,expert in; good at,6
哪,nǎ,how; which,1
哪怕,nǎ pà,even; even if; even though; no matter how,5
哪儿,nǎ r5,where?; wherever; anywhere,1
那,nà,"that; those; then (in that case); commonly pr. nei4 before a classifier, esp. in Beijing",1
纳闷儿,nà mèn r5,puzzled; bewildered,6
那儿,nà r5,there,1
奶奶,nǎi nai,(informal) father's mother; paternal grandmother; CL:位[wei4],3
耐心,nài xīn,patient (adjective),4
耐用,nài yòng,durable,6
南,nán,south,3
难,nán,difficult (to...); problem; difficulty; difficult; not good,3
难道,nán dào,don't tell me ...; could it be that...?,4
难得,nán dé,seldom; rare; hard to come by,6
难怪,nán guài,(it's) no wonder (that...); (it's) not surprising (that),5
难过,nán guò,feel sorry; be grieved,3
难堪,nán kān,hard to take; embarrassed,6
难看,nán kàn,ugly; unsightly,5
难免,nán miǎn,hard to avoid; difficult to escape from,6
难能可贵,nán néng kě guì,rare and commendable; estimable,6
男人,nán rén,a man; a male; men; CL:個|个[ge4],2
难受,nán shòu,to feel unwell; to suffer pain; to be difficult to bear,4
脑袋,nǎo dài,"head; skull; brains; mental capability; CL:顆|颗[ke1],個|个[ge4]",5
恼火,nǎo huǒ,to get angry; irritated; to annoy; to aggravate; annoying,6
呢,ne,(question particle for subjects already mentioned),1
内,nèi,inside; inner; internal; within; interior,4
内涵,nèi hán,meaning; content; essential properties implied or reflected by a notion; intention; connotation; self-possessed,6
内科,nèi kē,"medicine; ""internal"" medicine, i.e. treatment by administering drugs, as opposed to surgical intervention 外科[wai4 ke1]; medical department",5
内幕,nèi mù,inside story; non-public information; behind the scenes; internal,6
内容,nèi róng,"content; substance; details; CL:個|个[ge4],項|项[xiang4]",4
内在,nèi zài,intrinsic; innate,6
嫩,nèn,tender; soft; delicate; light (color); inexperienced; unskilled,5
能,néng,to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of,1
能干,néng gàn,capable; competent,5
能力,néng lì,capability; capable; able; ability; CL:個|个[ge4],4
能量,néng liàng,energy; capabilities,6
能源,néng yuán,energy; power source; CL:個|个[ge4],5
嗯,ńg,(a groaning sound),6
你,nǐ,"you (informal, as opposed to polite 您[nin2])",1
拟定,nǐ dìng,to draw up; to draft; to formulate,6
年,nián,year; CL:個|个[ge4],1
年代,nián dài,a decade of a century (e.g. the Sixties); age; era; period; CL:個|个[ge4],5
年度,nián dù,"year (e.g. school year, fiscal year)",6
年级,nián jí,grade; CL:個|个[ge4],3
年纪,nián jì,"age; CL:把[ba3],個|个[ge4]",5
年龄,nián líng,"(a person's) age; CL:把[ba3],個|个[ge4]",4
年轻,nián qīng,young,3
念,niàn,"to read; to study (a degree course); to read aloud; to miss (sb); idea; remembrance; twenty (banker's anti-fraud numeral corresponding to 廿, 20)",5
鸟,niǎo,"bird; CL:隻|只[zhi1],群[qun2]",3
捏,niē,to pinch (with one's fingers); to knead; to make up,6
您,nín,"you (polite, as opposed to informal 你[ni3])",2
拧,níng,to pinch; wring,6
凝固,níng gù,to freeze; to solidify; to congeal; fig. with rapt attention,6
凝聚,níng jù,to condense; to coagulate; coacervation (i.e. form tiny droplets); aggregation; coherent,6
凝视,níng shì,gaze,6
宁可,nìng kě,preferably; one would prefer to...(or not to...); would rather; (would) be better to; (to pick) the lesser of two evils,5
宁肯,nìng kěn,would rather...; it would be better...; would prefer,6
宁愿,nìng yuàn,would rather; better,6
牛奶,niú nǎi,"cow's milk; CL:瓶[ping2],杯[bei1]",2
牛仔裤,niú zǎi kù,jeans; CL:條|条[tiao2]; also written 牛崽褲|牛崽裤,5
纽扣儿,niǔ kòu r5,button,6
扭转,niǔ zhuǎn,to reverse; to turn around (an undesirable situation),6
浓,nóng,concentrated; dense,5
农村,nóng cūn,rural area; village; CL:個|个[ge4],4
浓厚,nóng hòu,"dense; thick (fog, clouds etc); to have a strong interest in; deep; fully saturated (color)",6
农历,nóng lì,the traditional Chinese calendar; the lunar calendar,6
农民,nóng mín,peasant; CL:個|个[ge4],5
农业,nóng yè,agriculture; farming,5
弄,nòng,to do; to manage; to handle; to play with; to fool with; to mess with; to fix; to toy with,4
奴隶,nú lì,slave,6
努力,nǔ lì,great effort; to strive; to try hard,3
暖和,nuǎn huo,warm; nice and warm,4
挪,nuó,to shift; to move,6
女儿,nǚ ér,daughter,1
女人,nǚ rén,woman,2
女士,nǚ shì,"lady; madam; CL:個|个[ge4],位[wei4]",5
虐待,nüè dài,to mistreat; to maltreat; to abuse; mistreatment; maltreatment,6
哦,ò,oh; ah,6
殴打,ōu dǎ,to beat up; to come to blows; battery (law),6
欧洲,Oū zhōu,Europe; European,6
偶尔,ǒu ěr,occasionally; once in a while; sometimes,4
偶然,ǒu rán,incidentally; occasional; occasionally; by chance; randomly,5
呕吐,ǒu tù,to vomit,6
趴,pā,to lie on one's stomach,6
爬山,pá shān,to climb a mountain; to mountaineer; hiking; mountaineering,3
拍,pāi,to pat; to clap; to slap; fly-swatter; racket; to take (a photograph),5
排斥,pái chì,to reject; to exclude; to eliminate; to remove; to repel,6
排除,pái chú,to eliminate; to get rid of; to remove,6
排队,pái duì,to line up,5
排放,pái fàng,emission; discharge; exhaust (gas etc),6
徘徊,pái huái,to dither; to hesitate; to pace back and forth; by ext. to hover around; to linger,6
排列,pái liè,array; arrangement; permutation (i.e. ordered choice of n elements out of m),4
排球,pái qiú,volleyball; CL:個|个[ge4],5
派,pài,clique; school; group; faction; to dispatch; to send; to assign; to appoint; pi (Greek letter Ππ); the circular ratio pi = 3.1415926,5
派别,pài bié,denomination; group; school; faction; school of thought,6
派遣,pài qiǎn,to send (on a mission); to dispatch,6
攀登,pān dēng,to climb; to pull oneself up; to clamber; to scale; fig. to forge ahead in the face of hardships and danger,6
盘旋,pán xuán,to spiral; to circle; to go around; to hover; to orbit,6
盘子,pán zi,tray; plate; dish,3
畔,pàn,bank; field-path,6
判断,pàn duàn,to decide; to determine; CL:個|个[ge4],4
判决,pàn jué,judgment (by a court of law),6
盼望,pàn wàng,to hope for; look forward to,5
旁边,páng biān,lateral; side; to the side; beside,2
庞大,páng dà,huge; enormous; tremendous,6
胖,pàng,fat; plump,3
抛弃,pāo qì,discard; dump; abandon,6
跑步,pǎo bù,to walk quickly; to march; to run,2
泡沫,pào mò,foam; (soap) bubble; (economic) bubble,6
陪,péi,to accompany; to keep sb company,4
赔偿,péi cháng,to compensate,5
培训,péi xùn,to cultivate; to train; to groom; training,6
培养,péi yǎng,to train; culture; to bring up; to groom (for a position),5
培育,péi yù,to train; to breed,6
配备,pèi bèi,to allocate; to provide; to outfit with,6
佩服,pèi fú,admire,5
配合,pèi hé,matching; fitting in with; compatible with; to correspond; to fit; to conform to; rapport; to coordinate with; to act in concert with; to cooperate; to become man and wife; to combine parts of machine,5
配偶,pèi ǒu,consort; mate; spouse,6
配套,pèi tào,to form a complete set; coherent,6
盆,pén,"basin; flower pot; unit of volume equal to 12 斗 and 8 升, approx 128 liters; CL:個|个[ge4]",5
盆地,pén dì,basin (low-lying geographical feature); depression,6
烹饪,pēng rèn,cooking; culinary arts,6
朋友,péng you,"friend; CL:個|个[ge4],位[wei4]",1
捧,pěng,to clasp; to cup the hands; to hold up with both hands; to offer (esp. in cupped hands); to praise; to flatter,6
碰见,pèng jiàn,to run into; to meet (unexpectedly); to bump into,5
批,pī,"to ascertain; to act on; to criticize; to pass on; classifier for batches, lots, military flights; tier (for the ranking of universities and colleges)",5
披,pī,to drape over one's shoulders; to open; to unroll; to split open; to spread out,5
劈,pī,"to hack; to chop; to split open; see 噼啪|劈啪, onomat. for crack, slap, clap, clatter etc",6
批发,pī fā,wholesale; bulk trade; distribution,6
批判,pī pàn,criticize; CL:個|个[ge4],6
批评,pī píng,to criticize; criticism; CL:個|个[ge4],4
批准,pī zhǔn,to approve; to ratify,5
疲惫,pí bèi,beaten; exhausted; tired,6
皮肤,pí fū,skin; CL:種|种[zhong3],4
皮革,pí gé,leather; CL:張|张[zhang1],6
啤酒,pí jiǔ,"beer; CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]",3
疲倦,pí juàn,to tire; tired,6
疲劳,pí láo,fatigue; wearily; weariness; weary,5
脾气,pí qi,temperament; disposition; temper; CL:個|个[ge4],6
皮鞋,pí xié,leather shoes,5
匹,pǐ,"ordinary person; classifier for horses, mules etc; classifier for cloth: bolt",5
屁股,pì gu,buttocks; bottom; ass,6
譬如,pì rú,for example; for instance; such as,6
篇,piān,"sheet; piece of writing; bound set of bamboo slips used for record keeping (old); classifier for written items: chapter, article",4
偏差,piān chā,bias; deviation,6
偏见,piān jiàn,prejudice,6
偏僻,piān pì,remote; desolate; far from the city,6
偏偏,piān piān,(indicates that sth turns out just the opposite of what one would expect or what would be normal); unfortunately; against expectations,6
便宜,pián yi,small advantages; to let sb off lightly; cheap; inexpensive,2
片,piàn,"thin piece; flake; a slice; film; TV play; to slice; to carve thin; partial; incomplete; one-sided; classifier for slices, tablets, tract of land, area of water; classifier for CDs, movies, DVDs etc; used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc",5
骗,piàn,to cheat; to swindle; to deceive; to fool; to hoodwink; to trick,4
片段,piàn duàn,fragment (of speech etc); extract (from book etc); episode (of story etc),6
片刻,piàn kè,short period of time; a moment,6
片面,piàn miàn,unilateral; one-sided,5
飘,piāo,to float,5
漂浮,piāo fú,"to float; to hover; to drift (also fig., to lead a wandering life); to rove; showy; superficial",6
飘扬,piāo yáng,wave; flutter; fly,6
票,piào,ticket; ballot; bank note; CL:張|张[zhang1]; person held for ransom; amateur performance of Chinese opera; classifier for shipments and business transactions (topolect),2
漂亮,piào liang,pretty; beautiful,1
拼搏,pīn bó,to struggle; to wrestle,6
拼命,pīn mìng,to do one's utmost; with all one's might; at all costs; (to work or fight) as if one's life depends on it,6
频道,pín dào,frequency; (television) channel,5
贫乏,pín fá,lack; incomplete,6
频繁,pín fán,frequently; often,6
贫困,pín kùn,impoverished; poverty,6
频率,pín lǜ,frequency,6
品尝,pǐn cháng,to taste a small amount; to sample,6
品德,pǐn dé,moral character,6
品行,pǐn xíng,behavior; moral conduct,6
品质,pǐn zhì,quality,6
品种,pǐn zhǒng,breed; variety; CL:個|个[ge4],5
乒乓球,pīng pāng qiú,table tennis; ping-pong; ping pong; table tennis ball; CL:個|个[ge4],4
凭,píng,"to lean against; to rely on; on the basis of; no matter (how, what etc); proof",5
平,píng,flat; level; equal; to tie (make the same score); to draw (score); calm; peaceful; see also 平聲|平声[ping2 sheng1],5
平常,píng cháng,ordinary; common; usually; ordinarily,5
平等,píng děng,equal; equality,5
平凡,píng fán,commonplace; ordinary; mediocre,6
平方,píng fāng,"square (as in square foot, square mile, square root)",5
评估,píng gū,to evaluate; to assess; assessment; evaluation,6
苹果,píng guǒ,"apple; CL:個|个[ge4],顆|颗[ke1]",1
平衡,píng héng,balance; equilibrium,5
评价,píng jià,to evaluate; to assess,5
平静,píng jìng,tranquil; undisturbed; serene,5
平均,píng jūn,average,5
评论,píng lùn,to comment on; to discuss; comment; commentary; CL: 篇[pian1],6
平面,píng miàn,plane (flat surface); print media,6
平时,píng shí,in normal times; in peacetime,4
平坦,píng tǎn,level; even; smooth; flat,6
平行,píng xíng,parallel; of equal rank; simultaneous,6
平原,píng yuán,field; plain; CL:個|个[ge4],6
屏障,píng zhàng,protective screen,6
瓶子,píng zi,bottle; CL:個|个[ge4],4
坡,pō,slope; CL:個|个[ge4],6
泼,pō,to splash; to spill; rough and coarse; brutish,6
颇,pō,very; considerably,6
破,pò,"broken; damaged; worn out; to break, split or cleave; to get rid of; to destroy; to break with; to defeat; to capture (a city etc); to expose the truth of",4
迫不及待,pò bù jí dài,impatient (idiom); in a hurry; itching to get on with it,6
破产,pò chǎn,to go bankrupt; to become impoverished; bankruptcy,5
迫害,pò hài,to persecute; persecution,6
破坏,pò huài,destruction; damage; to wreck; to break; to destroy,5
破例,pò lì,to make an exception,6
魄力,pò lì,courage; daring; boldness; resolution; drive,6
迫切,pò qiè,urgent; pressing,5
扑,pū,to assault; to pounce; to rush at sth; to throw oneself on,6
铺,pū,to spread; to extend; to pave; to lay,6
葡萄,pú tao,grape,3
普遍,pǔ biàn,universal; general; widespread; common,4
普及,pǔ jí,popular; to popularize; universal; ubiquitous; pervasive,6
朴实,pǔ shí,plain; simple; guileless; down-to-earth; sincere and honest,6
朴素,pǔ sù,plain and simple; unadorned; simple living; not frivolous,5
普通话,pǔ tōng huà,Mandarin (common language); Putonghua (common speech of the Chinese language); ordinary speech,3
瀑布,pù bù,waterfall,6
七,qī,seven; 7,1
期待,qī dài,to look forward to; to await; expectation,5
欺负,qī fu,to bully,6
期间,qī jiān,period of time; time; time period; period; CL:個|个[ge4],5
凄凉,qī liáng,desolate,6
欺骗,qī piàn,to deceive; to cheat,6
期望,qī wàng,hope; expectation,6
期限,qī xiàn,time limit; deadline; allotted time,6
妻子,qī zi,wife; CL:個|个[ge4],2
骑,qí,to ride (an animal or bike); to sit astride,3
其次,qí cì,next; secondly,4
奇怪,qí guài,strange; odd,3
奇迹,qí jì,miracle; miraculous; wonder; marvel,5
奇妙,qí miào,fantastic; wonderful,6
旗袍,qí páo,Chinese-style dress; cheongsam,6
齐全,qí quán,complete,6
其实,qí shí,"actually, in fact, really",3
歧视,qí shì,to discriminate against; discrimination,6
其他,qí tā,other; the others; else; other than (that person); in addition to the person mentioned above,3
齐心协力,qí xīn xié lì,to work with a common purpose (idiom); to make concerted efforts; to pull together; to work as one,6
其余,qí yú,the rest; the others; remaining; remainder; apart from them,5
旗帜,qí zhì,ensign; flag,6
其中,qí zhōng,among; in; included among these,4
起草,qǐ cǎo,draft (a bill); draw up (plans),6
启程,qǐ chéng,to set out on a journey,6
起初,qǐ chū,originally; at first; at the outset,6
起床,qǐ chuáng,to get up,2
启发,qǐ fā,to enlighten; to explain and arouse interest; to inspire; inspiration; heuristic (attributively); to teach; CL:個|个[ge4],5
起飞,qǐ fēi,to take off (in an airplane),4
起伏,qǐ fú,to move up and down; to undulate; ups and downs,6
乞丐,qǐ gài,beggar,6
起哄,qǐ hòng,to heckle; rowdy jeering; to create a disturbance,6
起来,qǐ lái,beginning or continuing an action; upward movement; stand up,5
起码,qǐ mǎ,at the minimum; at the very least,6
启示,qǐ shì,enlightenment; revelation; apocalypse,6
启事,qǐ shì,"announcement (written, on billboard, letter, newspaper or website); to post information; a notice",6
企图,qǐ tú,attempt; CL:種|种[zhong3],5
企业,qǐ yè,company; firm; enterprise; corporation; CL:家[jia1],5
起义,qǐ yì,uprising; insurrection; revolt,6
岂有此理,qǐ yǒu cǐ lǐ,how can this be so? (idiom); preposterous; ridiculous; absurd,6
起源,qǐ yuán,origin; to originate; to come from,6
器材,qì cái,equipment; material,6
气氛,qì fēn,atmosphere; mood,5
气概,qì gài,lofty quality; mettle; spirit,6
气功,qì gōng,"qigong, a system of deep breathing exercises",6
器官,qì guān,organ (part of body tissue); apparatus,6
气候,qì hòu,climate; atmosphere; situation; CL:種|种[zhong3],4
迄今为止,qì jīn wéi zhǐ,so far; up to now; still (not),6
气魄,qì pò,spirit; boldness; positive outlook; imposing attitude,6
气色,qì sè,complexion,6
气势,qì shì,momentum; manner; energy; look of great force or imposing manner; powerful,6
气味,qì wèi,odor; scent,6
气象,qì xiàng,meteorological feature; CL:個|个[ge4]; meteorology; atmosphere or scene,6
气压,qì yā,atmospheric pressure; barometric pressure,6
汽油,qì yóu,gas; gasoline; CL:升[sheng1],5
